cm	centimetro
g	grammo
h	ora
kg	chilogrammo
km	chilometro
km²	chilometro quadrato
l	litro
m	metro
m²	metro quadrato
m³	metro cubo
mph	miglia all'ora
ml	millilitro
mm	millimetro
ms	millisecondo
min	minuto
%	per cento
s	secondo
